id_corpo_prova;obra;tipo_concreto;idade_dias;resistencia_mpa;cimento_kg_m3;relacao_a_c;abatimento_mm;densidade_kg_m3;absorção_agregado_pct
CP-062;Bloco A;C25;28;29.5;344;0.63;97.0;2350.0;2.01
CP-063;Bloco B;C35;28;36.2;385;0.51;99.0;2358.0;1.6
CP-064;Bloco A;C30;7;25.6;390O;0.59;114.0;2427.0;1.26
CP-065;Bloco C;C30;28;35.6;353;0.57;111.0;2334.0;1.18
CP-066;Bloco C;C35;28;41.6;372;0.51;110.0;2378.0;2.12
CP-067;Bloco C;C30;14;29.6;337;0.57;136.0;2362.0;1.56
CP-068;Bloco A;C30;7;30.7;346;0.56;126.0;2460.0;1.27
CP-069;Bloco C;C35;28;33.6;390;0.46;123.0;2360.0;1.71
CP-070;Bloco A;C25;28;29.8;345;0.63;117.0;2381.0;1.66
CP-071;Bloco A;C30;28;31.0;352;0.59;103.0;2383.0;1.35
CP-072;Bloco B;C40;14;37.3;403;0.48;98.0;2414.0;18.4
CP-073;Bloco D;C40;28;46.5;399;0.44;81.0;2315.0;2.06
CP-074;Bloco B;C25;28;27.8;300;0.62;114.0;2378.0;1.73
CP-075;Bloco A;C35;28;41.8;362;0.46;64.0;2397.0;2.2
CP-076;Bloco A;C25;56;26.6;325;0.64;147.0;2390.0;1.69
CP-077;Bloco D;C25;14;19.0;307;0.63;119.0;;1.38
CP-078;Bloco C;C40;28;46.9;403;0.52;83.0;2310.0;1.5
CP-079;Bloco D;C30;28;29.9;365;0.54;86.0;2377.0;2.14
CP-080;Bloco B;C35;28;35.1;386;0.52;119.0;2444.0;2.38
CP-081;Bloco B;C40;28;47.5;397;0.49;146.0;2368.0;1.74
CP-082;Bloco D;C40;14;43.4;402;0.46;101.0;2354.0;1.8
CP-083;Bloco C;C25;28;28.0;315;0.64;107.0;2346.0;1.97
CP-084;Bloco C;C25;28;23.3;312;0.57;138.0;2336.0;1.41
CP-085;Bloco A;C30;280;38.3;342;0.6;141.0;2377.0;1.86
CP-086;Bloco C;C35;7;30.1;385;0.5;68.0;2334.0;1.48
CP-087;Bloco A;C25;56;27.8;324;0.65;118.0;2424.0;2.17
CP-088;Bloco B;C35;28;36.9;405;0.54;107.0;2321.0;2.13
CP-089;Bloco C;C25;14;28.3;323;0.56;102.0;2367.0;2.24
CP-090;Bloco C;C30;28;33.1;367;0.55;117.0;2464.0;1.87
CP-091;Bloco B;C35;28;39.6;365;0.49;86.0;2372.0;0.82
CP-092;Bloco B;C35;14;;370;0.47;111.0;2380.0;2.38
CP-093;Bloco A;C40;28;42.9;402;0.5;102.0;2362.0;1.57
CP-094;Bloco A;C35;7;29.9;385;0.53;135.0;2351.0;2.47
CP-095;Bloco A;C25;28;30.3;327;0.63;124.0;2334.0;1.55
CP-096;Bloco D;C25;7;21.3;295;0.59;117.0;2349.0;1.72
CP-097;Bloco A;C25;28;26.7;356;0.64;122.0;2440.0;
CP-098;Bloco A;C35;14;37.0;375;0.46;137.0;2387.0;2.04
CP-099;Bloco C;C25;56;31.1;332;0.62;81.0;2414.0;1.88
CP-100;Bloco A;C30;56;30.9;377;0.55;109.0;2346.0;1.13
