"id_obra","tipo_obra","regiao","area_construida","custo_total","prazo_meses","resistencia_mpa","consumo_cimento","indice_falhas","satisfacao","sustentavel"
136,"Residencial","Nordeste",170.2,405497.44,16,36,389.2,1,2.8,"Não"
137,"Residencial","Centro-Oeste",878.9,2623672.11,10,34.09,340.2,1,6.3,"Não"
138,"Comercial","Nordeste",293.5,1142389.9,26,32.17,367.8,1,3,"Não"
139,"Comercial","Norte",305.3,1058103.39,18,35.26,346.6,2,7.1,"Não"
140,"Residencial","Sudeste",1300.7,3771907.42,27,32.56,335,0,6.7,"Sim"
141,"Industrial","Nordeste",1073.4,2230555.86,25,29.95,357,3,9.1,"Não"
142,"Residencial","Sudeste",1034.3,2773345.7,26,28.97,369,1,3.7,"Não"
143,"Comercial","Sudeste",679,2553913.8,31,23.21,362.8,2,5.7,"Sim"
144,"Comercial","Sudeste",439.8,1869362.45,7,40.37,373.4,0,5.5,"Sim"
145,"Infraestrutura","Sudeste",987.5,4501010.44,34,28.1,334.7,2,8.2,"Não"
146,"Residencial","Sul",488.6,1254148.63,31,27.95,324.3,3,5,"Não"
147,"Residencial","Sudeste",1624.3,4477665.83,25,27.5,357.2,3,8.9,"Não"
148,"Comercial","Nordeste",875,2934800.55,9,41.3,285.6,1,5,"Sim"
149,"Industrial","Nordeste",951.2,2279676.96,26,35.92,336,0,8.2,"Não"
150,"Residencial","Sudeste",344.6,987984.57,14,32.16,413,2,3.7,"Não"
151,"Residencial","Centro-Oeste",1016,2992958.77,23,31.61,318.6,5,8.8,"Não"
152,"Residencial","Nordeste",1213.3,2839385.82,36,25.87,327.3,5,2.9,"Sim"
153,"Infraestrutura","Sudeste",950,4090891.97,8,29.82,345.9,2,5.8,"Não"
154,"Comercial","Sul",867.8,3168875.07,14,39.11,303.5,3,9.4,"Não"
155,"Industrial","Sudeste",1350.9,3083575.43,14,30.86,330.4,2,4.7,"Não"
156,"Industrial","Nordeste",1080,2707028.27,27,36.61,382.3,0,8.3,"Não"
157,"Residencial","Sul",1053,2907012.21,7,35.55,354.1,2,5.9,"Não"
158,"Industrial","Sul",1191.1,2973487.87,16,27.17,327.3,1,6,"Não"
159,"Industrial","Sul",959.4,2110867.58,10,36.61,352,3,7.5,"Sim"
160,"Residencial","Centro-Oeste",1855.9,4502661.19,6,37.09,311.7,0,6,"Sim"
161,"Residencial","Nordeste",962,2495209.89,18,34.35,359.4,3,2,"Não"
162,"Comercial","Centro-Oeste",1193.5,4714518.73,24,28.06,338.1,1,6.3,"Sim"
163,"Infraestrutura","Sul",1143.3,5459916.92,29,25.47,317.1,0,2.7,"Sim"
164,"Residencial","Sudeste",1079.7,2567930.02,32,28.1,368.2,5,9.7,"Não"
165,"Residencial","Sul",1187.8,2999241.65,6,28.66,298.3,2,7.9,"Não"
166,"Residencial","Nordeste",962.2,2623382.71,16,31.46,337.5,3,4.2,"Não"
167,"Residencial","Sul",230.5,768978.67,6,34.71,313.3,2,8.8,"Não"
168,"Comercial","Sudeste",593.8,2239995.87,14,36.8,364.8,0,2.1,"Sim"
169,"Comercial","Sudeste",1599.7,4833855.49,17,29.31,392.7,1,9.8,"Sim"
170,"Residencial","Nordeste",1464.7,4019820.73,9,34.4,306.2,3,5.8,"Sim"
171,"Industrial","Sul",814.9,1648809.75,14,37.32,355.1,4,2.9,"Não"
172,"Industrial","Nordeste",45.9,112442.55,35,27.58,328.4,3,7.4,"Não"
173,"Comercial","Sudeste",606.9,2449663.97,14,28.62,345.5,1,9.4,"Sim"
174,"Industrial","Sudeste",368.3,748955.59,19,35.29,303.8,1,6,"Não"
175,"Residencial","Sul",313,1013134.4,16,29.65,358.6,1,5.6,"Não"
176,"Comercial","Centro-Oeste",1154,5604834.97,20,36.73,354.9,2,4.1,"Sim"
177,"Infraestrutura","Sul",890,4328425.91,21,29.33,256.7,3,1.4,"Não"
178,"Infraestrutura","Sudeste",1310.3,3912594.5,23,27.85,352,2,8.3,"Sim"
179,"Infraestrutura","Norte",425.9,1881670.89,25,31.49,322.2,3,3.4,"Não"
180,"Comercial","Sul",528.7,1739298.51,6,38.44,235.5,3,9.4,"Não"
181,"Residencial","Sul",1055.5,3283282.56,14,37.82,363.5,4,4.1,"Não"
182,"Residencial","Nordeste",1220.1,3819557,27,36.8,295.9,3,5.7,"Sim"
183,"Infraestrutura","Nordeste",794.5,2951739.15,16,29.41,356.5,5,5,"Não"
184,"Comercial","Nordeste",541.3,1995647.21,30,26.65,342.7,3,9.7,"Não"
185,"Residencial","Centro-Oeste",1443.2,3627975.6,25,36.73,389.3,2,7.3,"Sim"
186,"Residencial","Centro-Oeste",1389,4444765.64,31,30.5,227.5,2,1.7,"Sim"
187,"Industrial","Sul",1188.3,2490955.04,34,31.87,393.7,0,3.9,"Sim"
188,"Residencial","Nordeste",1110.7,3218775.6,33,37.95,265.8,7,2.9,"Sim"
189,"Residencial","Nordeste",467.7,1449931.12,35,36.68,361.8,0,4.3,"Não"
190,"Comercial","Sul",200.8,717509.41,20,35.89,392,2,8.8,"Sim"
191,"Residencial","Nordeste",1529.7,4827089.04,7,37.47,352.2,3,6,"Não"
192,"Residencial","Sul",945.8,2542091.01,8,32.1,372.1,0,3.6,"Sim"
193,"Residencial","Nordeste",586.1,1683846.34,30,37.78,392.4,1,9.8,"Não"
194,"Infraestrutura","Sul",1337.8,5203465.2,36,28.55,316.2,1,8.9,"Não"
195,"Residencial","Sudeste",653.3,1713094.54,33,33.12,374.6,1,4.4,"Sim"
196,"Residencial","Sudeste",702.9,1898311.76,20,34.41,367.4,2,3.3,"Não"
197,"Residencial","Centro-Oeste",992,2745015.61,24,32.42,250.9,2,2.2,"Não"
198,"Comercial","Centro-Oeste",403.3,1586622.07,16,36.11,299.9,4,9,"Não"
199,"Comercial","Sudeste",689.2,2859458.15,30,35.7,405.7,5,4.4,"Não"
200,"Residencial","Centro-Oeste",510.6,1240692.54,14,30.48,324.8,0,4.2,"Não"
201,"Infraestrutura","Nordeste",1225.9,6489137.19,21,34.24,362.5,0,9.9,"Não"
202,"Comercial","Sul",955.7,3568446.9,14,32.75,385,0,5.4,"Sim"
203,"Residencial","Sul",757.7,1772529.51,34,37.07,341.2,2,2,"Sim"
204,"Infraestrutura","Sudeste",1272.9,4807648.33,16,31.35,435.5,2,6.8,"Não"
205,"Comercial","Sudeste",835.4,2806638.86,11,30.21,304.5,1,3.2,"Não"
206,"Industrial","Sudeste",781.3,1648112,31,33.85,373.6,3,2,"Sim"
207,"Residencial","Nordeste",893.1,2846080.12,17,25.14,292.9,2,6.6,"Sim"
208,"Infraestrutura","Sul",643.6,2375056.71,6,36.67,325.6,3,5.3,"Sim"
209,"Industrial","Norte",868.3,2323768.78,19,33.65,307.6,0,6.4,"Não"
210,"Comercial","Nordeste",1148,5871406.51,25,31.38,383.7,2,5.6,"Não"
211,"Industrial","Sudeste",915.2,2022100.33,21,34.09,334.7,2,7.6,"Não"
212,"Residencial","Nordeste",1370.3,3400085.02,25,28.52,344.7,1,9,"Sim"
213,"Residencial","Nordeste",660.1,1523541.09,15,30.97,289.7,3,7,"Não"
214,"Residencial","Nordeste",751.3,1945292.09,25,29.3,355.3,6,2.3,"Sim"
215,"Infraestrutura","Norte",1277.7,4486462.9,19,33.94,352.5,3,5.2,"Sim"
216,"Comercial","Sudeste",463.9,1529294.34,14,30.88,406,3,9.1,"Não"
217,"Residencial","Nordeste",399.2,1096768.22,36,20.96,328.4,2,9.8,"Sim"
218,"Residencial","Sul",1056.2,3156534.09,10,30.76,311.2,2,5.2,"Sim"
219,"Residencial","Sudeste",719.2,2036530.37,11,27.59,333,3,2.9,"Não"
220,"Residencial","Nordeste",536.6,1654279.73,36,29.02,364.4,3,4.2,"Sim"
221,"Residencial","Sul",553.3,1343898.44,26,24.85,372.8,2,7.2,"Não"
222,"Comercial","Norte",1103.7,4125048.67,23,30.75,324.1,1,8.4,"Sim"
223,"Residencial","Sul",629.5,1716827.02,24,40.13,369.8,5,1.3,"Não"
224,"Industrial","Sul",836.7,1797589.6,23,41.18,393.3,2,6.6,"Não"
225,"Residencial","Sudeste",598.6,1892201.71,7,33.65,284.1,1,6.6,"Não"
226,"Infraestrutura","Sul",989,3587529.4,27,31.08,357.5,3,8.3,"Não"
227,"Industrial","Nordeste",637,1389195.42,14,28.55,351.7,1,1.4,"Não"
228,"Residencial","Sudeste",994,2735879.53,22,26.58,339,1,9.5,"Não"
229,"Residencial","Nordeste",674.6,1982597.48,18,26.59,296.3,3,1.3,"Não"
230,"Residencial","Nordeste",1444.2,3801500.88,18,26.86,409.4,2,5.3,"Não"
231,"Comercial","Sudeste",978.7,4062396.38,9,37.49,281.1,2,2.6,"Sim"
232,"Residencial","Sudeste",253.3,696863.22,29,27.58,314.9,3,1.4,"Não"
233,"Residencial","Nordeste",1290,2602681.59,22,25.16,377.1,3,3.5,"Sim"
234,"Comercial","Sudeste",826.1,2950109.8,34,44.43,371.3,0,3.7,"Não"
235,"Infraestrutura","Norte",922.9,4124764.4,18,35.08,371.5,2,8.4,"Não"
236,"Industrial","Sudeste",1294.4,3067271.49,29,26.39,325,4,4.7,"Não"
237,"Infraestrutura","Centro-Oeste",979.9,3747443.8,13,35.39,307.8,3,8.3,"Não"
238,"Residencial","Nordeste",1669.6,4913969.98,23,32.02,397.9,2,5.8,"Não"
239,"Residencial","Sudeste",681.6,2198478.29,29,33.4,390,2,2.7,"Não"
240,"Infraestrutura","Sudeste",962.8,4495667.07,19,26.52,304.7,1,1.5,"Não"
241,"Infraestrutura","Sul",1002.1,4514724.01,22,22.29,407.7,2,1.8,"Sim"
242,"Comercial","Sul",1103.4,3946549.41,8,24.66,453.6,1,3.2,"Sim"
243,"Infraestrutura","Nordeste",1116,6148140.34,31,31.51,409.8,4,6.4,"Não"
244,"Industrial","Centro-Oeste",1025.6,2394813.67,9,42.49,283.7,5,3.9,"Sim"
245,"Comercial","Nordeste",452.5,1281475.15,29,28.97,297.8,3,1.6,"Não"
246,"Comercial","Sudeste",717.7,2887502.83,9,32.49,386.1,2,4.7,"Não"
247,"Industrial","Centro-Oeste",872.7,1744843.43,15,21.15,275,2,1.2,"Sim"
248,"Residencial","Sudeste",691.8,1758108.81,19,29.82,410.7,2,3.4,"Sim"
249,"Residencial","Sul",953.1,2029954.47,12,33.45,318.1,2,3.1,"Sim"
250,"Residencial","Sudeste",595.1,1371515.73,12,36.85,386.6,1,3.7,"Não"
251,"Industrial","Centro-Oeste",1140.3,2175516.27,16,30.59,375.3,3,5.8,"Sim"
252,"Residencial","Sudeste",916.4,2307475.69,29,39.01,344.2,1,9.7,"Sim"
253,"Residencial","Sul",1025.3,2154998.7,9,26.3,386,2,10,"Não"
254,"Industrial","Sudeste",779.1,1412137.14,23,36.14,380.1,3,4.9,"Não"
255,"Comercial","Sudeste",631.8,1981029.91,30,26.86,269.6,2,9.4,"Não"
256,"Residencial","Nordeste",1317.2,3491507.59,9,31.08,268.2,2,1.9,"Sim"
257,"Industrial","Sudeste",574,1186720.85,10,32.82,353.4,0,8,"Não"
258,"Infraestrutura","Centro-Oeste",593.9,2407682.62,31,29.14,361.7,2,2.3,"Não"
259,"Industrial","Sudeste",630.8,1087795.49,18,35.42,393.2,5,5.5,"Não"
260,"Comercial","Sudeste",1432.8,3905982.64,9,31.72,286.7,1,5.6,"Não"
261,"Comercial","Sul",816.5,2735267.96,15,32.34,423.4,3,1.3,"Não"
262,"Comercial","Centro-Oeste",1205.7,4117158.49,8,27.46,340.6,4,9.7,"Não"
263,"Infraestrutura","Centro-Oeste",521.2,2001010.85,10,29.66,331.1,2,3.9,"Sim"
264,"Residencial","Nordeste",714.3,1933380.53,19,29.81,366.6,3,7.6,"Não"
265,"Industrial","Sudeste",799.1,1860667.58,35,37.48,340.9,2,5.7,"Sim"
266,"Residencial","Nordeste",1060.6,2819223.5,24,32.85,386.4,3,1.9,"Não"
267,"Comercial","Nordeste",752.9,2875410.9,24,30.59,268,2,8.8,"Sim"
268,"Comercial","Nordeste",1072.9,4033433.47,7,35.16,240.1,3,5.3,"Não"
269,"Industrial","Sul",886.1,2283426.25,17,31.11,246.9,2,2.7,"Sim"
270,"Industrial","Sudeste",907.7,2514545.02,21,30.77,296,4,3,"Não"
271,"Comercial","Nordeste",1528.8,4633412.94,36,33.68,283.9,3,8.4,"Sim"
272,"Comercial","Sul",633.3,2674921.53,11,29.75,403.1,3,2.1,"Não"
273,"Residencial","Sudeste",1162.1,3229259.83,21,40.83,369,1,3.5,"Sim"
274,"Residencial","Sudeste",1201.1,3822884.62,35,37.75,400.3,1,5.8,"Não"
275,"Industrial","Sudeste",1383.6,3337469.2,25,34.12,320.2,4,8.9,"Não"
276,"Comercial","Sudeste",953.7,3675425.3,27,26.5,312.5,3,9.9,"Não"
277,"Industrial","Centro-Oeste",930.3,2468783.78,24,34.05,324.2,3,9.7,"Sim"
278,"Industrial","Nordeste",899.1,2218266.46,19,31.18,398.4,2,9.3,"Não"
279,"Comercial","Nordeste",1078.9,4218104.58,11,33.16,283.8,5,1.9,"Não"
280,"Residencial","Sul",1045.4,3258933.4,13,32.46,337.9,5,1.7,"Sim"
281,"Comercial","Centro-Oeste",759.8,2819106.6,33,29.43,335.6,3,7.7,"Sim"
282,"Industrial","Sul",1133.5,2969386.66,34,35.07,317.6,0,6.9,"Não"
283,"Comercial","Sudeste",1040.1,4102652.41,18,30.44,316.8,2,4.7,"Não"
284,"Industrial","Sudeste",1074,2173555.22,28,32.65,328.5,3,7.6,"Sim"
285,"Industrial","Centro-Oeste",1750.8,3624262.52,31,26.45,325.6,1,7.9,"Sim"
286,"Comercial","Sudeste",938.7,3218380.81,8,30.67,355.3,1,8.4,"Sim"
287,"Residencial","Sul",685.6,1899516.4,15,29.28,238.2,1,9.8,"Não"
288,"Residencial","Sul",985.1,2376886.31,8,40.35,383.6,0,7,"Não"
289,"Infraestrutura","Nordeste",765,3175516.75,19,29.37,375.2,5,9.3,"Não"
290,"Industrial","Nordeste",603.5,1248866.26,11,39.71,381.7,1,9.4,"Não"
291,"Residencial","Centro-Oeste",729.5,1729006.73,23,37.41,284,2,5.9,"Não"
292,"Infraestrutura","Sudeste",885.3,4329218.69,36,36.16,348.4,1,1.9,"Não"
293,"Comercial","Nordeste",1161.2,5040453.58,32,36.11,238.6,3,9.8,"Não"
294,"Infraestrutura","Nordeste",964.2,3746181.24,14,27.87,365.9,2,8.1,"Não"
295,"Industrial","Nordeste",586.3,1420749.3,11,33.6,390.4,4,2.5,"Não"
296,"Comercial","Sudeste",800.2,2983587.7,18,29.15,351.1,3,4.3,"Sim"
297,"Comercial","Nordeste",360.5,1229412.67,32,28.97,364.4,2,7.8,"Sim"
298,"Comercial","Norte",785.3,2676964.37,7,30.53,295,2,3.8,"Sim"
299,"Residencial","Nordeste",430.3,1533910.62,20,31.88,308.2,3,5,"Não"
300,"Comercial","Norte",405.2,1415175.88,35,28.53,378.9,2,8.7,"Não"
