"faltas";"nota_media";"turno";"escolaridade_mae";"acesso_internet"
10;7;"Noturno";"Fundamental";"Não"
8;4,2;"Matutino";"Superior";"Sim"
8;5,5;"Vespertino";"Superior";"Sim"
6;9,6;"Matutino";"Fundamental";"Não"
4;10;"Vespertino";"Fundamental";"Não"
9;8,7;"Matutino";"Fundamental";"Sim"
7;6,8;"Noturno";"Médio";"Não"
6;5,3;"Noturno";"Médio";"Não"
13;7,5;"Vespertino";"Fundamental";"Não"
11;8,2;"Vespertino";"Médio";"Sim"
6;8,3;"Matutino";"Fundamental";"Sim"
8;4;"Matutino";"Superior";"Sim"
8;4,2;"Noturno";"Fundamental";"Sim"
9;4,7;"Vespertino";"Superior";"Sim"
6;7,3;"Matutino";"Fundamental";"Não"
7;3,7;"Vespertino";"Superior";"Não"
10;8,1;"Matutino";"Médio";"Sim"
6;3,5;"Matutino";"Fundamental";"Não"
8;7,3;"Matutino";"Fundamental";"Sim"
12;6,3;"Matutino";"Superior";"Sim"
9;6,7;"Matutino";"Fundamental";"Sim"
6;10;"Matutino";"Médio";"Sim"
16;6,3;"Matutino";"Fundamental";"Sim"
6;6,5;"Matutino";"Médio";"Sim"
9;5,8;"Matutino";"Fundamental";"Sim"
6;8;"Matutino";"Médio";"Sim"
8;9,3;"Matutino";"Médio";"Não"
13;4,5;"Matutino";"Médio";"Não"
4;7;"Matutino";"Fundamental";"Sim"
8;3,2;"Matutino";"Médio";"Sim"
5;9,6;"Matutino";"Médio";"Sim"
11;7,4;"Vespertino";"Médio";"Sim"
8;9,5;"Matutino";"Médio";"Sim"
5;5,5;"Matutino";"Médio";"Sim"
9;7,1;"Matutino";"Médio";"Não"
7;8,9;"Noturno";"Médio";"Sim"
8;7,6;"Matutino";"Fundamental";"Sim"
7;8,3;"Matutino";"Médio";"Sim"
9;9,1;"Matutino";"Fundamental";"Não"
10;5,9;"Matutino";"Superior";"Sim"
9;6,8;"Matutino";"Fundamental";"Sim"
7;6,7;"Vespertino";"Médio";"Sim"
4;5,6;"Matutino";"Médio";"Sim"
10;2,4;"Vespertino";"Médio";"Não"
5;5,4;"Matutino";"Fundamental";"Não"
8;9,5;"Matutino";"Médio";"Não"
7;10;"Matutino";"Médio";"Não"
8;4,5;"Noturno";"Médio";"Sim"
7;5,2;"Matutino";"Superior";"Não"
15;2,3;"Vespertino";"Fundamental";"Sim"
9;7;"Vespertino";"Superior";"Sim"
6;5,5;"Noturno";"Fundamental";"Sim"
9;4,1;"Matutino";"Fundamental";"Sim"
11;5,9;"Vespertino";"Médio";"Sim"
10;4,6;"Vespertino";"Superior";"Não"
11;8,4;"Vespertino";"Superior";"Sim"
11;7,3;"Vespertino";"Fundamental";"Sim"
13;6,7;"Matutino";"Fundamental";"Sim"
7;8,3;"Noturno";"Médio";"Não"
9;7,5;"Matutino";"Médio";"Sim"
6;1,8;"Noturno";"Superior";"Sim"
9;7,1;"Matutino";"Superior";"Sim"
5;7,5;"Matutino";"Médio";"Sim"
8;7,1;"Matutino";"Superior";"Sim"
10;5,3;"Noturno";"Médio";"Sim"
10;6,8;"Vespertino";"Médio";"Sim"
6;6,2;"Vespertino";"Fundamental";"Sim"
10;4,2;"Vespertino";"Médio";"Sim"
6;10;"Noturno";"Médio";"Sim"
7;3,4;"Vespertino";"Fundamental";"Sim"
11;5,1;"Vespertino";"Fundamental";"Sim"
10;8,9;"Matutino";"Fundamental";"Não"
14;3,2;"Vespertino";"Médio";"Não"
10;7,9;"Matutino";"Médio";"Não"
9;5,9;"Noturno";"Médio";"Sim"
10;5,8;"Vespertino";"Médio";"Sim"
7;2,6;"Noturno";"Superior";"Sim"
17;5,1;"Matutino";"Médio";"Sim"
9;7,3;"Vespertino";"Médio";"Não"
9;5,7;"Vespertino";"Fundamental";"Não"
8;8,9;"Noturno";"Fundamental";"Sim"
6;6,6;"Vespertino";"Fundamental";"Não"
9;6,5;"Vespertino";"Médio";"Sim"
9;6,3;"Noturno";"Fundamental";"Sim"
5;7,3;"Noturno";"Fundamental";"Não"
7;9,1;"Vespertino";"Fundamental";"Sim"
8;8,2;"Vespertino";"Médio";"Sim"
6;8,1;"Matutino";"Fundamental";"Sim"
7;9,6;"Matutino";"Superior";"Sim"
7;5,7;"Vespertino";"Fundamental";"Sim"
8;6,4;"Matutino";"Fundamental";"Não"
8;10;"Matutino";"Superior";"Não"
4;5,5;"Matutino";"Médio";"Sim"
11;8;"Matutino";"Superior";"Sim"
7;7,1;"Vespertino";"Médio";"Sim"
9;10;"Vespertino";"Médio";"Sim"
8;9,7;"Matutino";"Fundamental";"Sim"
6;7;"Matutino";"Fundamental";"Não"
8;7,7;"Vespertino";"Fundamental";"Não"
7;0,5;"Matutino";"Médio";"Sim"
9;6,4;"Matutino";"Médio";"Sim"
4;7,9;"Noturno";"Médio";"Não"
5;10;"Matutino";"Superior";"Não"
7;6,8;"Vespertino";"Superior";"Sim"
7;7,8;"Noturno";"Médio";"Sim"
4;6,7;"Noturno";"Fundamental";"Não"
11;4;"Noturno";"Fundamental";"Sim"
4;6,7;"Noturno";"Fundamental";"Não"
8;7,8;"Matutino";"Superior";"Não"
11;7,1;"Matutino";"Médio";"Sim"
7;8;"Noturno";"Superior";"Não"
7;6,5;"Vespertino";"Fundamental";"Sim"
5;5,6;"Vespertino";"Superior";"Sim"
8;8,5;"Noturno";"Médio";"Sim"
10;3,9;"Matutino";"Fundamental";"Sim"
9;8;"Vespertino";"Fundamental";"Sim"
10;6,8;"Matutino";"Médio";"Sim"
7;1,3;"Matutino";"Fundamental";"Sim"
6;5,5;"Noturno";"Médio";"Sim"
7;9,1;"Vespertino";"Superior";"Sim"
9;2,4;"Matutino";"Fundamental";"Não"
6;9,4;"Matutino";"Superior";"Não"
7;9,4;"Noturno";"Médio";"Sim"
7;8,9;"Noturno";"Fundamental";"Sim"
3;6,4;"Vespertino";"Médio";"Não"
5;5,4;"Vespertino";"Médio";"Não"
12;3,4;"Vespertino";"Médio";"Sim"
10;6,3;"Matutino";"Fundamental";"Não"
6;6,1;"Vespertino";"Médio";"Sim"
10;10;"Noturno";"Médio";"Sim"
6;7;"Vespertino";"Superior";"Sim"
6;5,4;"Noturno";"Fundamental";"Sim"
6;8,5;"Vespertino";"Fundamental";"Sim"
13;8,2;"Matutino";"Fundamental";"Sim"
6;5,5;"Matutino";"Médio";"Sim"
7;7,4;"Noturno";"Fundamental";"Sim"
14;5,3;"Matutino";"Fundamental";"Não"
7;5,1;"Matutino";"Médio";"Sim"
7;4,7;"Vespertino";"Médio";"Não"
4;5,7;"Noturno";"Fundamental";"Não"
12;4,5;"Vespertino";"Fundamental";"Sim"
8;8,2;"Matutino";"Superior";"Não"
8;7,8;"Matutino";"Fundamental";"Sim"
5;6,3;"Vespertino";"Médio";"Não"
6;9,8;"Noturno";"Médio";"Não"
9;7,5;"Vespertino";"Médio";"Sim"
10;7,9;"Matutino";"Médio";"Sim"
8;5,7;"Matutino";"Fundamental";"Sim"
1;9,3;"Vespertino";"Superior";"Não"
10;6,7;"Vespertino";"Médio";"Sim"
12;5,6;"Matutino";"Médio";"Sim"
6;8,3;"Matutino";"Fundamental";"Sim"
6;4,9;"Matutino";"Superior";"Não"
4;4,4;"Matutino";"Médio";"Sim"
5;9,2;"Vespertino";"Superior";"Sim"
9;8,5;"Matutino";"Médio";"Sim"
7;8,6;"Matutino";"Médio";"Não"
9;7,9;"Vespertino";"Superior";"Sim"
7;6,9;"Noturno";"Fundamental";"Sim"
12;4,6;"Matutino";"Superior";"Sim"
7;5,4;"Matutino";"Fundamental";"Não"
7;6;"Vespertino";"Superior";"Sim"
12;8,4;"Matutino";"Fundamental";"Sim"
9;6,1;"Vespertino";"Superior";"Sim"
5;7,9;"Matutino";"Fundamental";"Sim"
9;7,7;"Matutino";"Fundamental";"Sim"
5;5,8;"Vespertino";"Médio";"Sim"
7;3,8;"Matutino";"Médio";"Sim"
10;6,2;"Vespertino";"Médio";"Não"
4;5,8;"Vespertino";"Superior";"Sim"
14;3,3;"Vespertino";"Superior";"Sim"
6;5,8;"Matutino";"Fundamental";"Não"
4;9,1;"Matutino";"Médio";"Sim"
8;5,1;"Noturno";"Médio";"Sim"
9;5,2;"Matutino";"Fundamental";"Sim"
8;10;"Noturno";"Superior";"Sim"
16;6,7;"Matutino";"Fundamental";"Sim"
4;3,2;"Noturno";"Fundamental";"Sim"
6;4;"Matutino";"Médio";"Sim"
8;10;"Matutino";"Fundamental";"Sim"
10;8,8;"Vespertino";"Médio";"Sim"
5;6,2;"Noturno";"Superior";"Não"
7;2,6;"Matutino";"Fundamental";"Sim"
10;2,7;"Vespertino";"Fundamental";"Sim"
10;3,8;"Vespertino";"Médio";"Sim"
8;3,7;"Matutino";"Médio";"Não"
5;5,8;"Vespertino";"Médio";"Sim"
6;8,9;"Matutino";"Fundamental";"Não"
6;5,6;"Matutino";"Superior";"Não"
10;4,9;"Matutino";"Médio";"Não"
8;4,1;"Matutino";"Fundamental";"Sim"
6;4;"Matutino";"Superior";"Sim"
6;5,7;"Vespertino";"Fundamental";"Sim"
11;4;"Vespertino";"Superior";"Sim"
9;10;"Noturno";"Fundamental";"Não"
6;5,9;"Noturno";"Médio";"Sim"
8;8,5;"Matutino";"Fundamental";"Sim"
3;5,2;"Vespertino";"Fundamental";"Sim"
10;6,6;"Matutino";"Médio";"Sim"
5;4,5;"Matutino";"Médio";"Sim"
11;4,9;"Noturno";"Fundamental";"Sim"
7;5,6;"Matutino";"Fundamental";"Não"
7;6,1;"Matutino";"Fundamental";"Não"
7;6,9;"Noturno";"Médio";"Não"
13;6,8;"Matutino";"Médio";"Sim"
6;8,1;"Matutino";"Fundamental";"Sim"
7;4,9;"Matutino";"Fundamental";"Sim"
7;8,4;"Vespertino";"Fundamental";"Sim"
7;7,5;"Matutino";"Médio";"Sim"
9;3,4;"Matutino";"Médio";"Sim"
4;3,9;"Vespertino";"Fundamental";"Sim"
9;9,6;"Matutino";"Médio";"Não"
9;6,9;"Vespertino";"Fundamental";"Sim"
8;5,9;"Matutino";"Médio";"Sim"
10;7;"Matutino";"Fundamental";"Sim"
5;3,9;"Matutino";"Médio";"Sim"
5;6;"Matutino";"Fundamental";"Sim"
8;7,9;"Noturno";"Médio";"Não"
12;5,4;"Matutino";"Médio";"Sim"
12;5,2;"Matutino";"Médio";"Sim"
8;4,9;"Noturno";"Fundamental";"Sim"
6;9,3;"Vespertino";"Superior";"Sim"
4;7,5;"Matutino";"Superior";"Não"
14;3,5;"Matutino";"Fundamental";"Sim"
4;5,1;"Vespertino";"Fundamental";"Não"
10;2,5;"Matutino";"Fundamental";"Sim"
12;6,5;"Noturno";"Médio";"Sim"
5;7;"Vespertino";"Fundamental";"Sim"
9;5,9;"Vespertino";"Fundamental";"Sim"
5;4,2;"Matutino";"Médio";"Sim"
8;3;"Matutino";"Fundamental";"Sim"
7;5,4;"Vespertino";"Fundamental";"Sim"
6;1,8;"Vespertino";"Fundamental";"Não"
8;8,5;"Matutino";"Superior";"Não"
10;5,1;"Matutino";"Médio";"Sim"
5;1,1;"Vespertino";"Médio";"Não"
6;8,6;"Noturno";"Médio";"Sim"
6;7,2;"Vespertino";"Médio";"Não"
10;1;"Noturno";"Médio";"Sim"
9;5,9;"Vespertino";"Superior";"Não"
5;4,4;"Noturno";"Fundamental";"Sim"
9;9,2;"Noturno";"Médio";"Sim"
8;10;"Vespertino";"Médio";"Sim"
6;6,8;"Noturno";"Fundamental";"Sim"
8;8,5;"Vespertino";"Médio";"Não"
7;9,4;"Noturno";"Superior";"Não"
9;5,6;"Vespertino";"Fundamental";"Sim"
5;7,5;"Vespertino";"Fundamental";"Sim"
11;6;"Matutino";"Superior";"Não"
2;5,3;"Matutino";"Médio";"Sim"
5;7,2;"Noturno";"Médio";"Não"
6;6;"Noturno";"Médio";"Sim"
7;8,3;"Noturno";"Médio";"Não"
6;5,7;"Noturno";"Médio";"Sim"
10;4,5;"Matutino";"Fundamental";"Sim"
8;7,5;"Vespertino";"Médio";"Não"
6;8,2;"Matutino";"Médio";"Sim"
5;3,5;"Matutino";"Superior";"Sim"
7;3,7;"Noturno";"Médio";"Não"
9;6,7;"Vespertino";"Médio";"Sim"
8;6,8;"Matutino";"Fundamental";"Sim"
4;5,3;"Matutino";"Médio";"Sim"
11;9,5;"Matutino";"Médio";"Não"
13;3,2;"Vespertino";"Fundamental";"Não"
5;3,5;"Vespertino";"Médio";"Não"
5;5,7;"Vespertino";"Médio";"Sim"
6;6,8;"Matutino";"Médio";"Não"
9;4,2;"Matutino";"Médio";"Sim"
5;8,6;"Vespertino";"Médio";"Sim"
14;5,8;"Noturno";"Fundamental";"Sim"
8;4,2;"Vespertino";"Médio";"Sim"
6;4,5;"Vespertino";"Médio";"Sim"
10;4,7;"Noturno";"Médio";"Sim"
7;7,3;"Vespertino";"Médio";"Sim"
5;4,4;"Noturno";"Fundamental";"Sim"
6;6,5;"Matutino";"Médio";"Sim"
6;3,9;"Vespertino";"Médio";"Não"
8;6,5;"Matutino";"Médio";"Sim"
11;6,8;"Vespertino";"Médio";"Não"
9;9;"Noturno";"Fundamental";"Não"
13;6,3;"Vespertino";"Superior";"Sim"
4;8,1;"Matutino";"Médio";"Sim"
8;3;"Noturno";"Médio";"Sim"
5;7,2;"Noturno";"Fundamental";"Não"
6;6,4;"Vespertino";"Superior";"Sim"
4;9,2;"Matutino";"Médio";"Sim"
10;3,6;"Vespertino";"Superior";"Não"
9;8;"Vespertino";"Médio";"Sim"
7;5,7;"Noturno";"Superior";"Sim"
9;6,6;"Matutino";"Fundamental";"Sim"
5;6,4;"Noturno";"Médio";"Sim"
6;7;"Matutino";"Médio";"Sim"
12;5,3;"Matutino";"Superior";"Não"
5;7,1;"Matutino";"Superior";"Não"
3;7,3;"Matutino";"Fundamental";"Sim"
4;6;"Vespertino";"Médio";"Sim"
9;5,7;"Matutino";"Médio";"Não"
10;10;"Noturno";"Fundamental";"Sim"
8;4,2;"Matutino";"Médio";"Não"
6;6;"Vespertino";"Fundamental";"Sim"
10;7,7;"Matutino";"Médio";"Sim"
10;6,8;"Noturno";"Fundamental";"Não"
7;9,1;"Vespertino";"Fundamental";"Não"
14;7,4;"Vespertino";"Fundamental";"Sim"
13;8;"Matutino";"Superior";"Sim"
12;8,4;"Matutino";"Médio";"Não"
15;3,5;"Vespertino";"Fundamental";"Não"
6;6,4;"Vespertino";"Fundamental";"Sim"
8;7,8;"Matutino";"Superior";"Sim"
11;9,7;"Matutino";"Médio";"Sim"
12;2,6;"Matutino";"Fundamental";"Não"
6;4,5;"Noturno";"Fundamental";"Não"
7;8,5;"Noturno";"Fundamental";"Não"
9;8,5;"Matutino";"Superior";"Não"
7;5,5;"Matutino";"Superior";"Sim"
8;3,2;"Matutino";"Fundamental";"Sim"
6;4,5;"Matutino";"Fundamental";"Sim"
9;9,4;"Matutino";"Médio";"Sim"
6;2;"Vespertino";"Fundamental";"Sim"
8;5,9;"Noturno";"Médio";"Sim"
11;7,6;"Matutino";"Fundamental";"Não"
9;6,2;"Matutino";"Médio";"Sim"
9;6,4;"Noturno";"Médio";"Não"
10;9,7;"Noturno";"Superior";"Não"
8;5,7;"Vespertino";"Fundamental";"Sim"
3;7;"Vespertino";"Médio";"Sim"
10;5,6;"Matutino";"Fundamental";"Não"
7;7,5;"Vespertino";"Fundamental";"Sim"
4;5,7;"Vespertino";"Médio";"Sim"
9;7,2;"Matutino";"Médio";"Sim"
5;6,3;"Vespertino";"Fundamental";"Não"
8;10;"Matutino";"Médio";"Sim"
6;9,9;"Noturno";"Médio";"Sim"
8;5,2;"Vespertino";"Médio";"Sim"
6;5,4;"Matutino";"Médio";"Sim"
13;3,7;"Noturno";"Fundamental";"Sim"
10;4,3;"Matutino";"Médio";"Sim"
7;2,6;"Vespertino";"Médio";"Sim"
12;7,8;"Matutino";"Fundamental";"Sim"
8;4,6;"Vespertino";"Fundamental";"Sim"
9;6,2;"Vespertino";"Médio";"Sim"
7;10;"Vespertino";"Médio";"Não"
8;7,8;"Matutino";"Fundamental";"Sim"
15;3,9;"Vespertino";"Médio";"Sim"
9;4,8;"Matutino";"Médio";"Não"
6;2,8;"Matutino";"Superior";"Não"
6;4,1;"Matutino";"Médio";"Não"
11;9,5;"Matutino";"Fundamental";"Sim"
11;7,4;"Vespertino";"Fundamental";"Não"
11;3,7;"Matutino";"Fundamental";"Sim"
12;7,7;"Vespertino";"Fundamental";"Sim"
6;8;"Matutino";"Fundamental";"Não"
6;4,3;"Vespertino";"Superior";"Sim"
12;6,2;"Matutino";"Fundamental";"Sim"
9;6,7;"Matutino";"Fundamental";"Sim"
10;7,2;"Vespertino";"Fundamental";"Sim"
7;8,1;"Vespertino";"Fundamental";"Sim"
11;7,6;"Vespertino";"Fundamental";"Não"
4;6,6;"Vespertino";"Fundamental";"Sim"
3;10;"Matutino";"Médio";"Não"
7;6,4;"Vespertino";"Fundamental";"Não"
6;3;"Vespertino";"Fundamental";"Sim"
12;4,6;"Matutino";"Médio";"Sim"
7;5,7;"Matutino";"Médio";"Sim"
2;8,2;"Noturno";"Fundamental";"Sim"
8;3,6;"Noturno";"Fundamental";"Sim"
9;3,8;"Matutino";"Fundamental";"Sim"
8;5,9;"Matutino";"Médio";"Sim"
14;7,7;"Matutino";"Médio";"Sim"
7;8;"Vespertino";"Médio";"Sim"
6;5,8;"Matutino";"Superior";"Não"
10;4,7;"Matutino";"Médio";"Não"
6;10;"Vespertino";"Médio";"Não"
11;7,4;"Matutino";"Médio";"Sim"
4;6,7;"Matutino";"Médio";"Sim"
13;7,7;"Matutino";"Médio";"Sim"
5;5;"Matutino";"Fundamental";"Não"
10;6,9;"Matutino";"Médio";"Não"
11;7,4;"Noturno";"Médio";"Sim"
5;5,1;"Noturno";"Médio";"Sim"
7;6;"Matutino";"Superior";"Sim"
4;7,6;"Matutino";"Fundamental";"Sim"
7;3,4;"Vespertino";"Superior";"Não"
12;8,8;"Matutino";"Fundamental";"Sim"
8;6,1;"Noturno";"Fundamental";"Sim"
7;5,3;"Matutino";"Médio";"Sim"
6;5;"Matutino";"Fundamental";"Sim"
9;9,7;"Noturno";"Médio";"Sim"
4;5,8;"Noturno";"Médio";"Sim"
9;6,6;"Vespertino";"Médio";"Sim"
7;5,3;"Vespertino";"Fundamental";"Sim"
10;4,7;"Matutino";"Fundamental";"Sim"
8;7,7;"Noturno";"Fundamental";"Não"
7;6,4;"Noturno";"Médio";"Sim"
9;6,9;"Matutino";"Médio";"Sim"
7;5,1;"Vespertino";"Fundamental";"Não"
13;8,5;"Noturno";"Fundamental";"Sim"
9;7,6;"Vespertino";"Médio";"Sim"
5;7,3;"Vespertino";"Médio";"Sim"
6;7,4;"Matutino";"Médio";"Sim"
7;8,9;"Vespertino";"Médio";"Sim"
7;8,1;"Noturno";"Médio";"Sim"
6;5,5;"Matutino";"Fundamental";"Sim"
6;7,3;"Vespertino";"Superior";"Sim"
11;6,6;"Vespertino";"Fundamental";"Sim"
5;10;"Vespertino";"Fundamental";"Não"
9;3,9;"Matutino";"Superior";"Sim"
8;7;"Noturno";"Fundamental";"Sim"
16;4,9;"Vespertino";"Superior";"Não"
9;3;"Vespertino";"Médio";"Sim"
8;5,5;"Matutino";"Médio";"Sim"
8;4,5;"Noturno";"Fundamental";"Sim"
4;6,6;"Matutino";"Médio";"Não"
9;7,3;"Vespertino";"Médio";"Sim"
6;6,7;"Noturno";"Fundamental";"Sim"
8;6,5;"Matutino";"Superior";"Sim"
5;7,9;"Matutino";"Médio";"Não"
7;5,5;"Matutino";"Fundamental";"Sim"
8;1,1;"Matutino";"Fundamental";"Sim"
4;8,8;"Vespertino";"Médio";"Não"
15;6,3;"Noturno";"Médio";"Sim"
11;8;"Matutino";"Médio";"Sim"
5;7,6;"Vespertino";"Médio";"Sim"
12;6,2;"Vespertino";"Fundamental";"Sim"
5;7,8;"Matutino";"Médio";"Não"
10;3,9;"Vespertino";"Fundamental";"Sim"
9;7,5;"Noturno";"Médio";"Sim"
10;9;"Matutino";"Fundamental";"Não"
7;9,6;"Matutino";"Médio";"Sim"
8;5,6;"Matutino";"Fundamental";"Sim"
6;5,9;"Matutino";"Superior";"Sim"
7;8,6;"Matutino";"Médio";"Sim"
8;5,4;"Vespertino";"Superior";"Não"
8;7,6;"Noturno";"Fundamental";"Sim"
10;6;"Vespertino";"Médio";"Não"
6;5,1;"Noturno";"Fundamental";"Sim"
15;6,6;"Matutino";"Médio";"Não"
10;6,2;"Matutino";"Médio";"Sim"
9;5,7;"Matutino";"Médio";"Sim"
9;5,3;"Noturno";"Médio";"Sim"
8;7,9;"Matutino";"Médio";"Sim"
8;10;"Vespertino";"Fundamental";"Sim"
8;5,7;"Vespertino";"Fundamental";"Não"
7;4,1;"Matutino";"Médio";"Sim"
4;4,7;"Matutino";"Médio";"Sim"
9;6,9;"Matutino";"Médio";"Não"
5;6,5;"Vespertino";"Fundamental";"Não"
10;4,3;"Matutino";"Fundamental";"Sim"
14;7;"Noturno";"Médio";"Sim"
12;6,3;"Vespertino";"Fundamental";"Sim"
6;7,1;"Matutino";"Superior";"Sim"
4;6,3;"Matutino";"Fundamental";"Não"
10;3,6;"Vespertino";"Fundamental";"Sim"
6;9,3;"Vespertino";"Fundamental";"Sim"
8;9,2;"Matutino";"Superior";"Sim"
13;6,6;"Noturno";"Superior";"Sim"
6;9,6;"Vespertino";"Superior";"Não"
7;8,3;"Noturno";"Fundamental";"Sim"
7;4,5;"Vespertino";"Fundamental";"Sim"
13;8,2;"Vespertino";"Médio";"Sim"
12;4,3;"Matutino";"Superior";"Sim"
6;5,8;"Vespertino";"Médio";"Sim"
7;7,5;"Vespertino";"Médio";"Não"
11;9,2;"Noturno";"Médio";"Sim"
10;5;"Matutino";"Fundamental";"Não"
6;7;"Matutino";"Fundamental";"Sim"
11;8,9;"Matutino";"Médio";"Sim"
6;6,6;"Matutino";"Fundamental";"Sim"
5;2,9;"Noturno";"Fundamental";"Sim"
9;8,4;"Matutino";"Superior";"Sim"
7;7,7;"Vespertino";"Superior";"Sim"
7;8,4;"Matutino";"Médio";"Sim"
10;6,4;"Vespertino";"Médio";"Sim"
5;8,9;"Matutino";"Médio";"Sim"
6;6,8;"Noturno";"Fundamental";"Sim"
5;6,6;"Vespertino";"Médio";"Não"
5;6,3;"Vespertino";"Médio";"Sim"
9;10;"Noturno";"Superior";"Não"
10;8,2;"Noturno";"Fundamental";"Sim"
5;1,7;"Vespertino";"Superior";"Sim"
6;5,6;"Noturno";"Fundamental";"Sim"
11;8;"Vespertino";"Médio";"Sim"
14;5,2;"Noturno";"Fundamental";"Sim"
12;4,8;"Noturno";"Médio";"Sim"
1;4,9;"Matutino";"Fundamental";"Sim"
5;7,2;"Matutino";"Superior";"Sim"
9;5,4;"Noturno";"Fundamental";"Não"
3;6,5;"Noturno";"Médio";"Sim"
12;6,2;"Matutino";"Fundamental";"Sim"
3;6,2;"Vespertino";"Médio";"Sim"
12;5,4;"Vespertino";"Fundamental";"Sim"
10;4,9;"Vespertino";"Médio";"Não"
10;9,6;"Noturno";"Superior";"Não"
5;8,3;"Vespertino";"Médio";"Não"
12;6,8;"Matutino";"Médio";"Sim"
11;6,8;"Matutino";"Médio";"Sim"
6;7;"Matutino";"Fundamental";"Não"
7;10;"Noturno";"Superior";"Sim"
6;5,8;"Matutino";"Fundamental";"Sim"
